"Title: "
"Timeframe: 2018"
"Location","All Adults","Non-Hispanic White","Non-Hispanic Black","Hispanic","Asian and Native Hawaiian or Pacific Islander","American Indian/ Alaska Native","Other",Footnotes
"United States","4.1","4.1","4.4","3.8","2.6","5.5","5.9","1"
"Alabama","4.8","4.9","4.8","3","2.1","8.1","5"
"Alaska","3.8","3.6","5.3","2.8","2.5","3.6","7.7"
"Arizona","3.9","3.9","5.8","3.6","3.6","3.9","5.8"
"Arkansas","5","4.9","4.5","6.7","NSD","7.1","9.7"
"California","3.7","3.8","5.2","3.7","2.6","6.2","5.1"
"Colorado","3.6","3.7","3.6","3.3","3.3","5.3","6.1"
"Connecticut","3.7","3.5","4.6","3.8","2.1","8.6","5"
"Delaware","3.9","4.1","3.7","3.3","3","5.5","6.5"
"District of Columbia","4.1","3","5.1","4","2.8","NSD","7.5"
"Florida","4","4.2","3.7","3.5","2.5","6.1","4.6"
"Georgia","4.1","4.4","4.1","3.3","1.7","3.6","5.3"
"Hawaii","3.3","3.2","2.3","4.5","2.7","4.5","4.4"
"Idaho","3.9","3.9","NSD","3.7","4","2.9","6.1"
"Illinois","3.8","3.6","5.2","3.3","3","6.9","4.7"
"Indiana","4.5","4.5","4.9","4.2","2.9","10.4","8.9"
"Iowa","3.4","3.3","6.4","2.5","2.5","8.4","6.4"
"Kansas","4","4","4.2","4","2.4","5.6","5.9"
"Kentucky","4.9","4.8","5.9","5.1","3","7.6","5.8"
"Louisiana","4.9","4.8","4.7","6.6","3.3","3.4","8"
"Maine","4.6","4.5","2.8","4.9","8.5","12.9","7.2"
"Maryland","3.6","3.8","3.5","3.2","2.7","5.4","5.7"
"Massachusetts","4.2","4.4","3.5","4.3","2.4","NSD","4.9"
"Michigan","4.5","4.4","4.8","5.9","3.2","5.9","7.5"
"Minnesota","3.4","3.3","4","3","2.9","8.1","6.6"
"Mississippi","4.7","4.8","4.3","6.2","NSD","5.9","8.5"
"Missouri","4.4","4.2","4.9","5.1","3.8","7.5","6.8"
"Montana","3.7","3.6","NSD","3.3","NSD","5.1","4.9"
"Nebraska","3.6","3.6","4.1","2.9","2.3","4.5","6.4"
"Nevada","4","4.3","4.5","3.3","3.3","3.6","6.6"
"New Hampshire","4.2","4.1","4.5","4.8","2.5","10.7","9.1"
"New Jersey","3.8","4","3.1","4.2","2.5","NSD","8"
"New Mexico","4.4","4.3","4.5","4.3","5.9","4.1","6.3"
"New York","3.6","3.6","3.5","4","2.1","4.4","5.5"
"North Carolina","4","4","4","3.3","3.3","3.3","5.6"
"North Dakota","3.8","3.6","3.7","5.3","0.7","5.3","8"
"Ohio","4.6","4.3","4.7","7.8","3.5","5.6","8.5"
"Oklahoma","4.8","4.8","5.4","3.3","3.8","4.5","5.3"
"Oregon","4.6","4.5","4","4.8","3.8","6.2","7.4"
"Pennsylvania","4.5","4.2","5.7","6.2","2.9","6.1","4.1"
"Rhode Island","4","3.9","5.1","3.7","3.2","7.8","6.7"
"South Carolina","4.6","4.6","4.3","4.3","4.4","5.8","6.5"
"South Dakota","3.2","3.1","1.9","4.5","2.3","3.8","5.7"
"Tennessee","5","5","4.9","4.5","3","8.8","7"
"Texas","3.8","3.8","4.6","3.5","2.3","5.6","4.6"
"Utah","4","4","3.7","3.5","4.3","5.2","6.8"
"Vermont","3.9","3.8","5.8","5.2","0.3","9.1","7.4"
"Virginia","3.9","4","4.2","3","2.5","7","7.8"
"Washington","3.9","4.1","4.1","3.6","2.6","4.1","5.3"
"West Virginia","5.6","5.5","4.3","10","NSD","NSD","6.6"
"Wisconsin","3.9","3.7","5.1","5","3.4","3.2","7.4"
"Wyoming","3.8","3.6","NSD","4.9","NSD","2.5","7.6"
"Guam","3.1","1.6","NSD","4","3","NSD","3.8"
"Puerto Rico","4","NSD","NSD","4","NSD","NSD","NSD"
"Virgin Islands","N/A","N/A","N/A","N/A","N/A","N/A","N/A"

"Notes"
"Number represents days reported in past 30 days. Includes adults who reported zero poor mental health days in the past 30 days."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"Kaiser Family Foundation analysis of the Centers for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) 2013-2018 Survey Results."

"Definitions"
"*NSD*: Not sufficient data."
""
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016."


Footnotes
"1. US totals exclude data from the territories."
