"Title: "
"Timeframe: 2013"
"Location","All Adults","Non-Hispanic White","Non-Hispanic Black","Hispanic","Asian and Native Hawaiian or Pacific Islander","American Indian/ Alaska Native","Other",Footnotes
"United States","3.7","3.6","4.2","3.9","2.5","5.5","5","1"
"Alabama","4.4","4.6","4.4","1.8","NSD","10","8"
"Alaska","3.1","2.8","4.1","3.6","2.2","4.1","3.6"
"Arizona","3.9","3.3","4","4.8","4","5.4","5"
"Arkansas","4.4","4.4","4.8","3.2","NSD","4.9","6.3"
"California","3.8","3.7","4.6","4.1","3","5.9","3.9"
"Colorado","3.3","3.2","3.9","3.3","2.5","6","3.7"
"Connecticut","3.5","3.3","4.2","4.2","1.2","1.5","5.8"
"Delaware","3.6","3.5","4.4","3.3","1.6","4.9","5.5"
"District of Columbia","3.6","2.2","4.6","2.8","2.6","NSD","5"
"Florida","4.1","3.8","4.5","4.4","2","6.3","6"
"Georgia","3.4","3.7","3.4","3","0.8","7.4","4.7"
"Hawaii","2.7","2.5","1.9","4.3","2.1","NSD","3.6"
"Idaho","3.7","3.6","NSD","3.4","4.2","4.9","5.9"
"Illinois","3.7","3.3","5","4.5","2.3","NSD","4.7"
"Indiana","4","3.9","4.2","4.3","1.7","5.1","7.9"
"Iowa","2.9","2.8","2.9","3.7","1.7","NSD","9.8"
"Kansas","3.1","3.1","4","2.9","1.8","5.5","5"
"Kentucky","4.5","4.5","4","2.5","5.2","12.5","6.2"
"Louisiana","4.2","3.9","4.7","4.2","3.8","5","6.5"
"Maine","3.8","3.7","2.8","6.1","NSD","7.2","6.1"
"Maryland","3.3","3.2","3.8","3.1","2","3.8","4.1"
"Massachusetts","3.8","3.7","4.2","5.1","2.1","3","6.1"
"Michigan","3.9","3.8","4.8","3.9","1.4","4.6","4.7"
"Minnesota","2.9","2.8","3.8","4","2.2","4.3","5.7"
"Mississippi","4.3","4.1","4.8","3.7","1.1","4","5.6"
"Missouri","3.8","3.6","3.8","3.6","2.5","6.1","5.9"
"Montana","3.3","3.2","NSD","3.9","5.2","4.3","6.4"
"Nebraska","3","2.9","3.3","2.4","2.6","4.5","5.3"
"Nevada","3.7","3.8","4.2","3.1","2.4","11","6.1"
"New Hampshire","3.5","3.4","4.8","7.1","0.8","5.1","3.4"
"New Jersey","3.3","3.3","3.7","3.8","1.6","3","4"
"New Mexico","3.7","3.5","4.3","4","2.2","3.8","4.2"
"New York","3.7","3.4","4.1","4.4","2.6","6","6.8"
"North Carolina","3.6","3.8","3.7","2.2","1","5.1","5.8"
"North Dakota","2.7","2.6","5","5.2","2.9","4","4.8"
"Ohio","3.8","3.6","5","4.7","0.8","4.6","4.7"
"Oklahoma","4.3","4.1","5","4.5","4.1","5","5.9"
"Oregon","4.3","4.2","NSD","4.2","1.6","9.8","6.1"
"Pennsylvania","4","3.7","5.1","6.1","2.6","8.8","4.8"
"Rhode Island","3.8","3.7","3.3","4.1","3","6.4","3.6"
"South Carolina","3.8","3.6","3.9","3.4","1.1","6.8","6.6"
"South Dakota","2.5","2.4","3.8","2","1.2","3.7","4.8"
"Tennessee","3.7","3.9","3.4","0.9","0.8","NSD","2.9"
"Texas","3.2","3","4.3","3","2.2","4.5","5"
"Utah","3.5","3.5","3.9","3.4","3.1","4.6","5.5"
"Vermont","3.3","3.3","NSD","2.6","3.3","4.4","2.7"
"Virginia","3.3","3.2","3.2","4","3.5","4.8","5.4"
"Washington","3.8","3.7","4","4.9","2.6","7.1","5.2"
"West Virginia","4.4","4.5","4.9","3.2","NSD","NSD","4.7"
"Wisconsin","3.5","3.2","5.9","5.6","2.3","2.6","7.1"
"Wyoming","3.2","3.1","NSD","3.5","6.9","2.9","5.1"
"Guam","3.4","2.8","NSD","4.2","3.2","NSD","3.9"
"Puerto Rico","4.1","9.1","NSD","4.1","NSD","NSD","NSD"
"Virgin Islands","N/A","N/A","N/A","N/A","N/A","N/A","N/A"

"Notes"
"Number represents days reported in past 30 days. Includes adults who reported zero poor mental health days in the past 30 days."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"Kaiser Family Foundation analysis of the Centers for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) 2013-2018 Survey Results."

"Definitions"
"*NSD*: Not sufficient data."
""
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016."


Footnotes
"1. US totals exclude data from the territories."
