"Title: "
"Timeframe: 2016"
"Location","All Adults","Non-Hispanic White","Non-Hispanic Black","Hispanic","Asian and Native Hawaiian or Pacific Islander","American Indian/ Alaska Native","Other",Footnotes
"United States","3.8","3.8","4","3.4","2.4","6","5.8","1"
"Alabama","4.5","4.4","4.5","3","2.3","8.4","6.1"
"Alaska","3.5","3.1","3","3.9","3.5","4.6","4.7"
"Arizona","3.8","3.8","3.7","3.8","2.1","5.7","5.1"
"Arkansas","5","5","4.7","3.9","NSD","8.5","6.5"
"California","3.5","3.7","4.5","3.3","2.5","2.1","6.9"
"Colorado","3.6","3.4","3.8","3.9","2.6","7.7","4.2"
"Connecticut","3.7","3.4","3.6","4.8","2.7","8.2","5.8"
"Delaware","3.6","3.7","2.6","4.4","2","7.1","4.1"
"District of Columbia","3.4","2.3","4.3","2.7","3.3","NSD","7"
"Florida","3.6","3.8","3.5","3.1","1.9","5.8","6.1"
"Georgia","3.8","4","3.6","3.3","1.9","6.7","2.8"
"Hawaii","3.1","2.7","3.2","4.7","2.4","NSD","4.4"
"Idaho","3.5","3.4","NSD","4","1.4","5.8","7.8"
"Illinois","3.4","3.6","4.2","3","1.2","NSD","3.6"
"Indiana","4.2","4.2","4.7","3.2","3.5","7.8","4.4"
"Iowa","3.3","3.1","3.7","3.1","2.6","NSD","7.2"
"Kansas","3.2","3.1","3.6","3.2","2","5.6","5.5"
"Kentucky","4.6","4.5","4.9","6.1","2.4","8.4","7.6"
"Louisiana","4.2","4","4.5","3.3","2.6","3.6","6.6"
"Maine","4.1","4","1.9","2.6","4.1","6.9","6.1"
"Maryland","3.4","3.5","3.3","3.3","2.1","5.5","4.5"
"Massachusetts","3.9","3.8","4.5","3.9","3.1","9.3","6.6"
"Michigan","4.3","4.1","4.8","4.6","2.5","8","6.5"
"Minnesota","3.1","3","3.6","3.5","2.3","6.6","4.8"
"Mississippi","4.3","4.3","4.3","1.8","NSD","8","8.7"
"Missouri","4.2","4.1","4.4","3.3","1.8","9.1","6.2"
"Montana","3.4","3.2","NSD","4.6","NSD","4.9","5.6"
"Nebraska","3.2","3","4.5","3.3","2.9","3.4","6.1"
"Nevada","4.4","4.7","4.2","3.6","5","3.6","6.2"
"New Hampshire","4","3.9","1.6","5.1","2.5","11","6.1"
"New Jersey","3.4","3.7","3.9","2.5","2.2","2.4","5.5"
"New Mexico","3.9","3.8","4.2","3.9","2.6","4.4","3.1"
"New York","3.5","3.5","3.7","3.6","2.9","4.2","4.1"
"North Carolina","3.8","4","3.8","2","2.9","6.9","6.8"
"North Dakota","3.1","2.9","3.4","7.4","1.1","3.8","6.6"
"Ohio","4.1","4","4.4","6","1.9","8.2","5.7"
"Oklahoma","4.4","4.3","4.1","3.5","3.3","6.2","5"
"Oregon","4.3","4.2","4.2","4.5","2.9","7.6","5.6"
"Pennsylvania","4.2","3.9","4.5","6.5","2.6","6.4","5"
"Rhode Island","4.2","4","3.7","4.8","3.5","10.1","7.8"
"South Carolina","4.3","4.4","4","2.6","3.3","4.6","7.9"
"South Dakota","2.8","2.7","3.2","2.8","NSD","3.3","8.5"
"Tennessee","4.4","4.2","4.7","4.2","1.7","9.7","6.4"
"Texas","3.4","3.5","3.6","3.2","1.7","5.9","8.2"
"Utah","3.8","3.8","4.2","3.2","2.8","5.2","4.1"
"Vermont","3.9","3.8","1.7","7","4","10","6.3"
"Virginia","3.4","3.6","3.4","3.1","2","2.8","5.4"
"Washington","3.7","3.7","4.1","3.8","2.6","6.5","5.2"
"West Virginia","5","5","6.2","3.8","NSD","4.2","6.4"
"Wisconsin","3.7","3.6","3.9","4.7","3.2","9.6","5.7"
"Wyoming","3.6","3.7","NSD","3.3","NSD","6.5","2.1"
"Guam","3.8","2","NSD","2.7","3.9","NSD","4.7"
"Puerto Rico","3.8","2.4","NSD","3.8","NSD","NSD","NSD"
"Virgin Islands","2.8","1.9","3","2.4","2.2","NSD","NSD"

"Notes"
"Number represents days reported in past 30 days. Includes adults who reported zero poor mental health days in the past 30 days."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"Kaiser Family Foundation analysis of the Centers for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) 2013-2018 Survey Results."

"Definitions"
"*NSD*: Not sufficient data."
""
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016."


Footnotes
"1. US totals exclude data from the territories."
