"Title: Average Number of Poor Mental Health Days Reported in the Last 30 Days Among All Adults by Race/Ethnicity | KFF"
"Timeframe: 2015"
"Location","All Adults","Non-Hispanic White","Non-Hispanic Black","Hispanic","Asian and Native Hawaiian or Pacific Islander","American Indian/ Alaska Native","Other",Footnotes
"United States","3.7","3.7","4","3.7","2.4","5.8","5.4","1"
"Alabama","4.3","4.5","4.2","2.8","1.3","5.5","4.8"
"Alaska","3.5","3.3","4.9","4.1","2","3.8","4.4"
"Arizona","3.8","3.7","4.2","3.8","2.1","5.1","7.1"
"Arkansas","4.7","4.8","5","2.9","2","4.7","5.4"
"California","3.6","3.7","4.6","3.4","2.7","4.1","5.1"
"Colorado","3.5","3.3","3.2","3.9","1.6","8.3","5.2"
"Connecticut","3.6","3.5","3.3","4.9","2.4","5","5.9"
"Delaware","3.6","3.7","3.5","3.6","2.8","2.1","2"
"District of Columbia","3.5","2.9","4.4","2.4","1.2","4.4","4.2"
"Florida","4.1","3.9","3.8","5","2.7","3.4","6.4"
"Georgia","3.7","3.4","4.2","3.1","2.9","9.9","5.4"
"Hawaii","2.9","3","1.8","4.4","2.1","NSD","3.6"
"Idaho","3.4","3.4","NSD","3.7","0.9","5.1","5.9"
"Illinois","3.4","3.2","3.6","3.8","3.6","NSD","4.9"
"Indiana","4","4","3.8","2.9","3.2","9","6.4"
"Iowa","3.2","3.1","3.2","2.7","1.5","NSD","6.3"
"Kansas","3.2","3","4.2","3.2","1.8","6.1","6.6"
"Kentucky","4.3","4.2","3.7","3.8","3.1","7.9","8.8"
"Louisiana","4.3","4.3","4.3","4.9","3.9","4.7","5.8"
"Maine","3.8","3.7","6.1","5.2","2.8","4.4","6.3"
"Maryland","3.4","3.6","3.3","3.2","1.4","4.8","6"
"Massachusetts","3.9","3.9","4.4","3.8","1.8","6.6","5.5"
"Michigan","3.8","3.5","4.6","5.6","2.3","7.1","5.9"
"Minnesota","2.9","2.9","3.3","3.5","2.1","4.7","4.3"
"Mississippi","4.5","4.4","4.6","2.5","NSD","NSD","7.9"
"Missouri","4","3.9","4.2","5.9","1.2","5.7","7.2"
"Montana","3.4","3.3","NSD","4.3","NSD","4.1","5"
"Nebraska","2.9","2.9","2.8","2.9","2.7","4","4.7"
"Nevada","3.8","3.9","3.3","3.1","3.1","8.1","6.5"
"New Hampshire","3.5","3.5","2.6","4.2","3.3","5.1","4.2"
"New Jersey","3.3","3.6","3.1","3.2","1.5","3.6","5.6"
"New Mexico","3.7","3.4","4.4","3.9","2.7","3.9","1.7"
"New York","3.7","3.5","3.7","4.3","2.8","5.5","5.9"
"North Carolina","3.7","3.7","3.6","3.2","1.8","6.1","3.8"
"North Dakota","3.3","3.2","1.7","5.1","2.1","5.3","3"
"Ohio","3.9","3.8","4.1","5.6","2.2","4.6","7.9"
"Oklahoma","4.1","4","4.6","3.4","1.8","5.1","4.7"
"Oregon","4.5","4.4","6.8","4.8","2.4","6.4","5.5"
"Pennsylvania","3.8","3.5","5.1","5.4","1.5","NSD","5.1"
"Rhode Island","4.1","3.9","3.6","4.5","5.4","3.6","4.5"
"South Carolina","4.3","4.2","4.2","3.2","1.3","7.7","9"
"South Dakota","2.4","2.3","NSD","3.7","NSD","3","5.9"
"Tennessee","4.3","4.4","3.8","3.3","1.2","9.3","5.7"
"Texas","3.2","3.3","3.8","3","2","9.1","4.5"
"Utah","3.6","3.6","4.7","3.2","3.2","5.5","5.2"
"Vermont","3.5","3.5","NSD","4.6","2.2","6.1","7.5"
"Virginia","3.2","3.3","3.6","3","1.6","4","4.1"
"Washington","3.7","3.6","4.2","3.8","2.4","6","5.4"
"West Virginia","4.7","4.6","4.9","6.1","NSD","NSD","3.1"
"Wisconsin","3.4","3.2","4","5.1","2.9","7.7","5.8"
"Wyoming","3.6","3.5","NSD","3.8","NSD","4.2","3.5"
"Guam","3.5","3.1","NSD","3.7","3.5","NSD","3.6"
"Puerto Rico","3.8","NSD","NSD","3.8","NSD","NSD","NSD"
"Virgin Islands","N/A","N/A","N/A","N/A","N/A","N/A","N/A"

"Notes"
"Number represents days reported in past 30 days. Includes adults who reported zero poor mental health days in the past 30 days."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"Kaiser Family Foundation analysis of the Centers for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) 2013-2018 Survey Results."

"Definitions"
"*NSD*: Not sufficient data."
""
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016."


Footnotes
"1. US totals exclude data from the territories."
