"Title: "
"Timeframe: 2017"
"Location","All Adults","Non-Hispanic White","Non-Hispanic Black","Hispanic","Asian and Native Hawaiian or Pacific Islander","American Indian/ Alaska Native","Other",Footnotes
"United States","4","4","4.2","3.7","2.8","5.5","5.7","1"
"Alabama","4.8","4.7","4.7","4.7","2.3","7.8","8"
"Alaska","3.8","3.4","6.5","5.3","1.4","4.6","4.5"
"Arizona","3.9","3.9","4.2","4.1","2.7","3.8","4.9"
"Arkansas","5.1","5","5.2","2.9","1.5","5.9","9.1"
"California","3.5","3.9","4.1","3.2","2.7","4.2","4.5"
"Colorado","3.8","3.7","3.9","3.8","3.2","4.6","5.1"
"Connecticut","3.4","3.3","3.1","4","2.7","3.6","6.1"
"Delaware","4.1","4.2","3.9","2.9","2.4","4.2","8.4"
"District of Columbia","3.3","2.8","3.9","1.7","2.6","NSD","5.6"
"Florida","3.9","4.1","3.2","3.6","2.3","8.9","4.3"
"Georgia","3.8","3.9","3.8","3.5","0.9","6.4","5.7"
"Hawaii","3.2","3.5","3.2","4.2","2.1","NSD","4.3"
"Idaho","3.6","3.5","NSD","3.5","4.1","4.9","5.9"
"Illinois","3.8","3.7","4.6","3.3","3.4","NSD","5.5"
"Indiana","4.6","4.6","4.5","4","5.1","4","7.5"
"Iowa","3.5","3.4","3.3","4.6","1.8","3","5.7"
"Kansas","3.7","3.5","4.8","3.6","2.1","6","6.2"
"Kentucky","4.9","5","4.9","3.6","2.2","4.5","5.3"
"Louisiana","5","4.8","5","5.7","NSD","7.8","9.6"
"Maine","4.2","3.9","8.8","5.6","6.9","6.2","10.5"
"Maryland","3.7","3.7","3.9","3.5","2.3","7.8","5"
"Massachusetts","3.9","3.9","4.1","4.5","2.5","NSD","5.9"
"Michigan","4.3","4.1","5.3","4.7","2.3","5.2","6.8"
"Minnesota","3","2.9","4.1","3.4","2.3","4.8","5.6"
"Mississippi","4.9","4.9","4.7","4.5","NSD","9.4","7.4"
"Missouri","4.3","4.2","4.6","3.9","3.7","5.8","6.4"
"Montana","3.6","3.4","NSD","5.4","5.8","5.2","4.6"
"Nebraska","3.4","3.4","4.6","2.9","2","5.8","5.8"
"Nevada","3.5","3.5","5.3","2.7","4","5.8","4.9"
"New Hampshire","3.8","3.7","NSD","7.2","4.4","8.7","5.1"
"New Jersey","3.9","4.1","3.9","3.9","2.2","6.5","5.8"
"New Mexico","4.3","4","4.8","4.7","3.5","4","5.4"
"New York","3.9","3.9","4.1","4.2","3.4","4.3","5.8"
"North Carolina","4.1","4","4.5","3.5","3.2","5.4","4"
"North Dakota","3.4","3.1","2.9","5.8","1.3","6.8","8.8"
"Ohio","4.4","4.3","4.3","6.4","3.7","7.6","6.8"
"Oklahoma","4.7","4.5","5.1","5.4","4","6.3","5.4"
"Oregon","4.6","4.6","5.7","3.9","3.8","4.9","6.5"
"Pennsylvania","4.2","4","4.5","5.4","2.2","13.5","8.3"
"Rhode Island","4.5","4.4","5","5.3","3.2","4.9","4.4"
"South Carolina","4.4","4.4","4","4.9","2.6","5","7.1"
"South Dakota","3.1","2.9","2.3","1.7","3.7","4.8","7.5"
"Tennessee","4.3","4.4","3.4","2.9","2.2","7.3","6.5"
"Texas","3.8","4","4","3.7","2.6","2.2","7.8"
"Utah","3.9","3.9","4.6","3.3","4.5","6.1","4.6"
"Vermont","4.3","4.2","3","8","1.7","8.5","5.7"
"Virginia","3.7","3.8","3.8","3.1","3.6","4.7","5.6"
"Washington","4.1","4.1","4.3","3.7","3.1","5.6","5.7"
"West Virginia","5.2","5.1","5.1","9.9","NSD","6.9","7.3"
"Wisconsin","3.8","3.7","3.7","5","2","9.1","5.7"
"Wyoming","3.6","3.5","6.2","4","NSD","4.3","5.7"
"Guam","3.8","2.7","NSD","5.3","3.5","NSD","5.5"
"Puerto Rico","4.3","NSD","NSD","4.3","NSD","NSD","NSD"
"Virgin Islands","N/A","N/A","N/A","N/A","N/A","N/A","N/A"

"Notes"
"Number represents days reported in past 30 days. Includes adults who reported zero poor mental health days in the past 30 days."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"Kaiser Family Foundation analysis of the Centers for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) 2013-2018 Survey Results."

"Definitions"
"*NSD*: Not sufficient data."
""
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016."


Footnotes
"1. US totals exclude data from the territories."
