"State Imports by HS Commodities"
"Current date: 11/01/2020 10:34 PM (Eastern Standard Time)"
"State","Commodity","Country","Time","Total Value ($US)",
"Alabama","All Commodities","China","2013","1,973,201,319"
"Alabama","All Commodities","China","2014","2,037,565,129"
"Alabama","All Commodities","China","2015","2,183,149,350"
"Alabama","All Commodities","China","2016","1,871,438,144"
"Alabama","All Commodities","China","2017","2,241,966,561"
"Alabama","All Commodities","China","2018","2,807,832,560"
"Alaska","All Commodities","China","2013","181,161,005"
"Alaska","All Commodities","China","2014","339,029,337"
"Alaska","All Commodities","China","2015","662,585,498"
"Alaska","All Commodities","China","2016","454,883,743"
"Alaska","All Commodities","China","2017","369,254,147"
"Alaska","All Commodities","China","2018","318,982,764"
"Arizona","All Commodities","China","2013","2,478,008,529"
"Arizona","All Commodities","China","2014","2,714,369,407"
"Arizona","All Commodities","China","2015","2,651,038,554"
"Arizona","All Commodities","China","2016","2,555,567,879"
"Arizona","All Commodities","China","2017","2,918,828,850"
"Arizona","All Commodities","China","2018","3,402,278,771"
"Arkansas","All Commodities","China","2013","2,262,995,421"
"Arkansas","All Commodities","China","2014","2,533,089,860"
"Arkansas","All Commodities","China","2015","2,576,053,618"
"Arkansas","All Commodities","China","2016","3,058,257,281"
"Arkansas","All Commodities","China","2017","3,831,987,821"
"Arkansas","All Commodities","China","2018","5,167,788,824"
"California","All Commodities","China","2013","130,447,509,147"
"California","All Commodities","China","2014","137,888,958,470"
"California","All Commodities","China","2015","143,635,674,020"
"California","All Commodities","China","2016","143,998,294,313"
"California","All Commodities","China","2017","159,106,124,920"
"California","All Commodities","China","2018","161,133,429,972"
"Colorado","All Commodities","China","2013","1,924,912,127"
"Colorado","All Commodities","China","2014","2,273,499,451"
"Colorado","All Commodities","China","2015","2,426,607,990"
"Colorado","All Commodities","China","2016","2,259,523,019"
"Colorado","All Commodities","China","2017","2,167,938,616"
"Colorado","All Commodities","China","2018","2,004,445,797"
"Connecticut","All Commodities","China","2013","2,776,553,179"
"Connecticut","All Commodities","China","2014","2,985,845,462"
"Connecticut","All Commodities","China","2015","3,031,155,664"
"Connecticut","All Commodities","China","2016","2,306,629,899"
"Connecticut","All Commodities","China","2017","2,236,175,848"
"Connecticut","All Commodities","China","2018","2,300,588,095"
"Delaware","All Commodities","China","2013","473,879,183"
"Delaware","All Commodities","China","2014","506,667,315"
"Delaware","All Commodities","China","2015","382,402,096"
"Delaware","All Commodities","China","2016","381,664,239"
"Delaware","All Commodities","China","2017","409,810,764"
"Delaware","All Commodities","China","2018","450,715,122"
"Dist of Columbia","All Commodities","China","2013","21,053,867"
"Dist of Columbia","All Commodities","China","2014","29,126,690"
"Dist of Columbia","All Commodities","China","2015","27,324,064"
"Dist of Columbia","All Commodities","China","2016","28,099,254"
"Dist of Columbia","All Commodities","China","2017","44,707,983"
"Dist of Columbia","All Commodities","China","2018","221,128,085"
"Florida","All Commodities","China","2013","11,758,563,254"
"Florida","All Commodities","China","2014","12,266,243,026"
"Florida","All Commodities","China","2015","11,855,320,819"
"Florida","All Commodities","China","2016","11,903,912,697"
"Florida","All Commodities","China","2017","12,594,013,150"
"Florida","All Commodities","China","2018","14,138,960,216"
"Georgia","All Commodities","China","2013","17,623,238,730"
"Georgia","All Commodities","China","2014","18,697,136,484"
"Georgia","All Commodities","China","2015","19,792,198,184"
"Georgia","All Commodities","China","2016","18,501,007,124"
"Georgia","All Commodities","China","2017","22,210,785,226"
"Georgia","All Commodities","China","2018","23,742,858,685"
"Hawaii","All Commodities","China","2013","298,944,588"
"Hawaii","All Commodities","China","2014","262,152,388"
"Hawaii","All Commodities","China","2015","278,742,265"
"Hawaii","All Commodities","China","2016","242,161,423"
"Hawaii","All Commodities","China","2017","388,771,869"
"Hawaii","All Commodities","China","2018","386,050,301"
"Idaho","All Commodities","China","2013","1,099,754,712"
"Idaho","All Commodities","China","2014","1,499,227,408"
"Idaho","All Commodities","China","2015","1,582,953,233"
"Idaho","All Commodities","China","2016","1,420,438,540"
"Idaho","All Commodities","China","2017","2,425,657,366"
"Idaho","All Commodities","China","2018","2,885,303,964"
"Illinois","All Commodities","China","2013","25,784,321,072"
"Illinois","All Commodities","China","2014","29,503,953,009"
"Illinois","All Commodities","China","2015","31,242,237,068"
"Illinois","All Commodities","China","2016","30,200,255,185"
"Illinois","All Commodities","China","2017","31,990,064,162"
"Illinois","All Commodities","China","2018","40,829,590,181"
"Indiana","All Commodities","China","2013","6,795,110,274"
"Indiana","All Commodities","China","2014","7,720,798,607"
"Indiana","All Commodities","China","2015","8,327,043,375"
"Indiana","All Commodities","China","2016","7,882,853,769"
"Indiana","All Commodities","China","2017","8,831,363,402"
"Indiana","All Commodities","China","2018","9,261,324,547"
"Iowa","All Commodities","China","2013","1,354,174,802"
"Iowa","All Commodities","China","2014","1,415,608,134"
"Iowa","All Commodities","China","2015","1,511,250,157"
"Iowa","All Commodities","China","2016","1,397,528,524"
"Iowa","All Commodities","China","2017","1,675,708,452"
"Iowa","All Commodities","China","2018","2,091,863,155"
"Kansas","All Commodities","China","2013","2,115,178,745"
"Kansas","All Commodities","China","2014","2,353,952,045"
"Kansas","All Commodities","China","2015","2,625,532,260"
"Kansas","All Commodities","China","2016","2,363,261,426"
"Kansas","All Commodities","China","2017","2,407,408,401"
"Kansas","All Commodities","China","2018","2,850,868,079"
"Kentucky","All Commodities","China","2013","6,639,588,192"
"Kentucky","All Commodities","China","2014","6,873,287,049"
"Kentucky","All Commodities","China","2015","6,059,227,991"
"Kentucky","All Commodities","China","2016","5,889,290,471"
"Kentucky","All Commodities","China","2017","8,073,247,538"
"Kentucky","All Commodities","China","2018","8,229,533,330"
"Louisiana","All Commodities","China","2013","1,024,246,753"
"Louisiana","All Commodities","China","2014","1,310,800,083"
"Louisiana","All Commodities","China","2015","1,293,660,787"
"Louisiana","All Commodities","China","2016","1,152,320,985"
"Louisiana","All Commodities","China","2017","1,370,319,739"
"Louisiana","All Commodities","China","2018","1,367,651,725"
"Maine","All Commodities","China","2013","352,630,677"
"Maine","All Commodities","China","2014","358,875,925"
"Maine","All Commodities","China","2015","466,845,641"
"Maine","All Commodities","China","2016","369,614,180"
"Maine","All Commodities","China","2017","349,558,239"
"Maine","All Commodities","China","2018","350,378,445"
"Maryland","All Commodities","China","2013","2,842,032,849"
